Data Time,X,Y,Z
2016/01/27 18:40:26.00,28993,38544,28593
2016/01/27 18:40:26.02,29089,38544,28641
2016/01/27 18:40:26.04,29089,38544,28641
2016/01/27 18:40:26.06,29185,38544,28561
2016/01/27 18:40:26.08,29121,38576,28497
2016/01/27 18:40:26.10,29121,38576,28497
2016/01/27 18:40:26.12,29089,38576,28545
2016/01/27 18:40:26.14,29073,38544,28529
2016/01/27 18:40:26.16,29105,38560,28529
2016/01/27 18:40:26.18,29073,38592,28481
2016/01/27 18:40:26.20,29057,38608,28433
2016/01/27 18:40:26.22,29073,38576,28465
2016/01/27 18:40:26.24,29073,38592,28497
2016/01/27 18:40:26.26,29089,38576,28513
2016/01/27 18:40:26.28,29089,38576,28593
2016/01/27 18:40:26.30,29025,38592,28497
2016/01/27 18:40:26.32,29025,38560,28481
2016/01/27 18:40:26.34,29057,38528,28449
2016/01/27 18:40:26.36,29169,38528,28529
2016/01/27 18:40:26.38,29153,38608,28625
2016/01/27 18:40:26.40,29089,38592,28433
2016/01/27 18:40:26.42,29105,38608,28385
2016/01/27 18:40:26.44,29137,38592,28497
2016/01/27 18:40:26.46,29105,38528,28561
2016/01/27 18:40:26.48,29137,38576,28497
2016/01/27 18:40:26.50,29121,38624,28449
2016/01/27 18:40:26.52,29105,38576,28497
2016/01/27 18:40:26.54,29089,38576,28545
2016/01/27 18:40:26.56,29089,38560,28529
2016/01/27 18:40:26.58,29105,38592,28481
2016/01/27 18:40:26.60,29073,38576,28465
2016/01/27 18:40:26.62,29105,38592,28465
2016/01/27 18:40:26.64,29089,38528,28465
2016/01/27 18:40:26.66,29121,38480,28481
2016/01/27 18:40:26.68,29105,38480,28417
2016/01/27 18:40:26.70,29041,38448,28433
2016/01/27 18:40:26.72,29041,38464,28481
2016/01/27 18:40:26.74,29025,38544,28481
2016/01/27 18:40:26.76,29025,38512,28497
2016/01/27 18:40:26.78,29025,38576,28529
2016/01/27 18:40:26.80,29009,38544,28481
2016/01/27 18:40:26.82,29041,38560,28481
2016/01/27 18:40:26.84,29089,38544,28497
2016/01/27 18:40:26.86,29153,38528,28577
2016/01/27 18:40:26.88,29089,38544,28545
2016/01/27 18:40:26.90,29025,38576,28545
2016/01/27 18:40:26.92,29025,38576,28545
2016/01/27 18:40:26.94,29025,38592,28545
2016/01/27 18:40:26.96,29057,38560,28625
2016/01/27 18:40:26.98,29057,38624,28641
2016/01/27 18:40:27.00,29073,38640,28641
2016/01/27 18:40:27.02,29089,38624,28673
2016/01/27 18:40:27.04,29073,38624,28657
2016/01/27 18:40:27.06,29105,38672,28689
2016/01/27 18:40:27.08,29137,38624,28609
2016/01/27 18:40:27.10,29105,38672,28593
2016/01/27 18:40:27.12,29025,38720,28625
2016/01/27 18:40:27.14,29089,38624,28513
2016/01/27 18:40:27.16,29169,38672,28689
2016/01/27 18:40:27.18,29089,38688,28689
2016/01/27 18:40:27.20,29121,38656,28657
2016/01/27 18:40:27.22,29153,38688,28657
2016/01/27 18:40:27.24,29153,38720,28641
2016/01/27 18:40:27.26,29137,38704,28673
2016/01/27 18:40:27.28,29137,38720,28721
2016/01/27 18:40:27.30,29153,38704,28737
2016/01/27 18:40:27.32,29153,38720,28705
2016/01/27 18:40:27.34,29121,38720,28673
2016/01/27 18:40:27.36,29137,38736,28689
2016/01/27 18:40:27.38,29137,38736,28721
2016/01/27 18:40:27.40,29137,38704,28721
2016/01/27 18:40:27.42,29105,38688,28769
2016/01/27 18:40:27.44,29105,38656,28721
2016/01/27 18:40:27.46,29137,38704,28753
2016/01/27 18:40:27.48,29121,38736,28689
2016/01/27 18:40:27.50,29121,38720,28689
2016/01/27 18:40:27.52,29105,38688,28721
2016/01/27 18:40:27.54,29121,38736,28705
2016/01/27 18:40:27.56,29105,38720,28721
2016/01/27 18:40:27.58,29057,38704,28737
2016/01/27 18:40:27.60,29121,38704,28689
2016/01/27 18:40:27.62,29153,38736,28673
2016/01/27 18:40:27.64,29185,38752,28753
2016/01/27 18:40:27.66,29105,38720,28705
2016/01/27 18:40:27.68,29057,38736,28705
2016/01/27 18:40:27.70,29105,38736,28769
2016/01/27 18:40:27.72,29153,38752,28769
2016/01/27 18:40:27.74,29169,38736,28769
2016/01/27 18:40:27.76,29169,38736,28769
2016/01/27 18:40:27.78,29169,38752,28705
2016/01/27 18:40:27.80,29201,38736,28753
2016/01/27 18:40:27.82,29121,38736,28801
2016/01/27 18:40:27.84,29073,38720,28609
2016/01/27 18:40:27.86,29169,38736,28641
2016/01/27 18:40:27.88,29153,38688,28737
2016/01/27 18:40:27.90,29121,38704,28705
2016/01/27 18:40:27.92,29121,38736,28689
2016/01/27 18:40:27.94,29121,38768,28593
2016/01/27 18:40:27.96,29137,38720,28689
2016/01/27 18:40:27.98,29137,38784,28721
2016/01/27 18:40:28.00,29137,38752,28737
2016/01/27 18:40:28.02,29153,38736,28801
2016/01/27 18:40:28.04,29201,38720,28721
2016/01/27 18:40:28.06,29169,38752,28673
2016/01/27 18:40:28.08,29121,38752,28673
2016/01/27 18:40:28.10,29089,38736,28641
2016/01/27 18:40:28.12,29137,38736,28737
2016/01/27 18:40:28.14,29089,38720,28849
2016/01/27 18:40:28.16,29089,38688,28769
2016/01/27 18:40:28.18,29073,38704,28721
2016/01/27 18:40:28.20,29089,38688,28593
2016/01/27 18:40:28.22,29057,38720,28561
2016/01/27 18:40:28.24,29041,38704,28577
2016/01/27 18:40:28.26,29105,38656,28577
2016/01/27 18:40:28.28,29105,38656,28577
2016/01/27 18:40:28.30,29137,38688,28625
2016/01/27 18:40:28.32,29137,38640,28657
2016/01/27 18:40:28.34,29121,38528,28657
2016/01/27 18:40:28.36,29137,38528,28625
2016/01/27 18:40:28.38,29121,38592,28609
